tag1,tag2,post_count
"slider","slider","4"
"calculator","conditional","1"
"matplotlib","boxplot","1"
"biginteger","java","2"
"matrix","matlab","1"
"matrix","natural-logarithm","1"
"bit-shift","bit-shift","1"
"mathematical-optimization","mathematical-optimization","1"
"jfreechart","jfreechart","1"
"fractals","fractals","1"
"multiplication","logarithm","1"
"quicksort","asymptotic-complexity","1"
"latitude-longitude","mapping","1"
"scipy","numpy","5"
"scipy","python-3.x","1"
"double-precision","double-precision","1"
"ieee-754","ieee-754","1"
"divide-by-zero","python","1"
"linear-regression","logarithm","4"
"scientific-software","calculator","1"
"complex-numbers","natural-logarithm","1"
"circle","circle","1"
"parse-error","parse-error","1"
"cmath","math.h","1"
"recurrence-relation","time-complexity","1"
"visual-studio-2008","math","1"
"matrix-multiplication","python","1"
"matrix-multiplication","matrix","1"
"visual-c++","logarithm","1"
"fortran90","bit-manipulation","1"
"determinants","determinants","1"
"lattice","logarithm","1"
"lattice","r","1"
"loess","r","1"
"bcl","logarithm","1"
"phpexcel","excel","1"
"sin","logarithm","1"
"exponential","binary-tree","1"
"binary-search-tree","big-o","1"
"ios","swift","1"
"razor","logarithm","1"
"python-3.x","python-3.x","3"
"easing","sin","1"
"pandas","matplotlib","1"
"pandas","dataframe","1"
"bitcoin","c#","1"
"matlab-figure","matlab-figure","1"
"javafx-2","linechart","1"
"axis-labels","matplotlib","1"
"c++11","idiomatic","1"
"highstock","highcharts","1"
"polar-coordinates","plot","1"
"branch-prediction","optimization","1"
"little-o","big-o","1"
"natural-logarithm","floating-point","1"
"natural-logarithm","optimization","1"
"natural-logarithm","performance","1"
"natural-logarithm","complex-numbers","1"
"loop-invariant","java","1"
"iterated-function","complexity-theory","2"
"ffbase","ff","1"
"swift","logarithm","1"
"graph-drawing","best-fit-curve","1"
"nested-loops","binary-search","1"
"bitcount","performance","1"
"percentage","percentage","1"
"ieee-754","floating-point","1"
"micro-optimization","micro-optimization","2"
"power-law","curve-fitting","1"
"asymptotic-complexity","logarithm","4"
"asymptotic-complexity","quicksort","1"
"matrix-multiplication","numpy","1"
"neo4j","neo4j","1"
"neo4j","cypher","1"
"bar-chart","logarithm","2"
"arbitrary-precision","logarithm","1"
"arbitrary-precision","arbitrary-precision","1"
"fortran90","fortran","2"
"ggplot2","plot","3"
"ggplot2","raster","1"
"wolframalpha","wolframalpha","1"
"least-squares","data-fitting","1"
"ssrs-2008","reporting-services","1"
"highcharts","charts","2"
"motordriver","logarithm","1"
"sin","easing","1"
"exp","c++","1"
"exp","precision","1"
"python-3.x","conditional","1"
"colorbar","logarithm","2"
"visiblox","visiblox","1"
"constexpr","logarithm","2"
"floating-point-precision","floating-point-precision","1"
"alglib","alglib","1"
"axis-labels","ggplot2","1"
"branch-prediction","branch-prediction","1"
"plotrix","plot","1"
"morris.js","linechart","1"
"logistic-regression","divide-by-zero","1"
"natural-logarithm","c++","1"
"natural-logarithm","python","5"
"natural-logarithm","matrix","1"
"pitch-detection","matlab","1"
"value","logarithm","1"
"yaxis","yaxis","1"
"contour","python","1"
"latitude-longitude","logarithm","1"
"scipy","curve-fitting","1"
"double-precision","logarithm","1"
"divide-by-zero","logarithm","1"
"compile-time","c++","1"
"compile-time","compile-time","1"
"complex-numbers","python","1"
"numerical-methods","math","1"
"numerical-methods","boost","1"
"circle","logarithm","1"
"drawing2d","drawing","1"
"parse-error","casting","1"
"cmath","c","1"
"maple","maple","1"
"sqrt","c++","1"
"fortran90","logarithm","2"
"ggplot2","transformation","1"
"ggplot2","exponential","1"
"lattice","plot","1"
"qwt","axis-labels","1"
"logistics","logistics","1"
"pow","benchmarking","1"
"bcl","bcl","1"
"phpexcel","char","1"
"highcharts","yaxis","1"
"dataframe","dataframe","2"
"motordriver","motordriver","1"
"xscale","matlab","1"
"jqplot","charts","1"
"jqplot","axes","1"
"sin","sin","1"
"exponential","javascript","1"
"exponential","c#","1"
"exponential","matlab","2"
"fortran95","fortran95","1"
"c#-4.0","logarithm","1"
"trendline","razor","1"
"pie-chart","logarithm","1"
"mpmath","complex-numbers","1"
"logistic-regression","logistic-regression","3"
"natural-logarithm","logarithm","15"
"natural-logarithm","algebra","1"
"natural-logarithm","nan","1"
"natural-logarithm","expression-evaluation","1"
"natural-logarithm","mpmath","1"
"natural-logarithm","natural-logarithm","15"
"loop-invariant","invariants","1"
"contourf","contourf","1"
"replaygain","acoustics","1"
"r-grid","logarithm","1"
"princeton-ias","arrays","1"
"yaxis","javascript","1"
"sympy","python","1"
"sympy","sympy","1"
"notation","big-o","1"
"time-complexity","algorithm","10"
"time-complexity","while-loop","1"
"while-loop","loops","1"
"graph-drawing","qt","1"
"computer-algebra-systems","maple","1"
"nested-loops","algorithm","2"
"infinity","infinity","1"
"ieee-754","math","1"
"divide-by-zero","machine-learning","1"
"linear-regression","linear-regression","4"
"compile-time","logarithm","1"
"complex-numbers","logarithm","2"
"best-fit-curve","logarithm","1"
"micro-optimization","math","1"
"parse-error","php","1"
"cmath","cmath","1"
"recurrence-relation","math","2"
"matrix-multiplication","logarithm","1"
"matrix-multiplication","matrix-multiplication","1"
"fortran90","fortran90","2"
"ggplot2","charts","1"
"wolframalpha","matlab","1"
"least-squares","logarithm","1"
"highcharts","highcharts","10"
"node.js","javascript","1"
"data-fitting","matlab","1"
"jqplot","jqplot","1"
"exp","fixed-point","1"
"operator-keyword","c","1"
"cypher","logarithm","1"
"fortran95","logarithm","1"
"floating-point-precision","c++","1"
"pandas","pandas","2"
"cdf","python","1"
"axis-labels","python","1"
"axis-labels","ribbon","1"
"polar-coordinates","polar-coordinates","2"
"galois-field","math","1"
"little-o","logarithm","1"
"output","javascript","1"
"oxyplot","logarithm","1"
"natural-logarithm","algorithm","1"
"natural-logarithm","scale","1"
"iterated-function","logarithm","3"
"gmpy","python","1"
"contourf","xscale","1"
"r-grid","r-grid","1"
"princeton-ias","princeton-ias","1"
"yaxis","highcharts","1"
"curve-fitting","curve","1"
"scale","distribution","1"
"scale","flot","1"
"aspect-ratio","matplotlib","1"
"go","go","1"
"time-complexity","time","1"
"time-complexity","time-complexity","13"
"square","matplotlib","1"
"infinity","entropy","1"
"scipy","scipy","7"
"scipy","sparse-matrix","2"
"sparse-matrix","python","2"
"sparse-matrix","scipy","2"
"double-precision","math","1"
"micro-optimization","c++","1"
"numerical-methods","logarithm","5"
"heatmap","heatmap","2"
"drawing2d","logarithm","1"
"parse-error","syntax","1"
"radix","radix","1"
"bins","logarithm","1"
"reporting-services","reporting-services","1"
"spectrogram","audio","1"
"binning","c++","1"
"binning","histogram","1"
"loess","loess","1"
"phpexcel","logarithm","1"
"boxplot","logarithm","1"
"boxplot","boxplot","1"
"highcharts","zero","2"
"xscale","logarithm","1"
"xscale","contourf","1"
"ntl","discrete-mathematics","1"
"equation-solving","symbolic-math","1"
"binary-search-tree","binary-search-tree","1"
"ios","logarithm","2"
"data-structures","algorithm","1"
"python-3.x","logarithm","3"
"hidden-markov-models","hidden-markov-models","1"
"c#-4.0","math","1"
"alglib","determinants","1"
"cdf","cdf","1"
"axis-labels","qt","1"
"axis-labels","qwt","1"
"polar-coordinates","python","2"
"pie-chart","matlab","1"
"plotrix","r","1"
"output","input","1"
"natural-logarithm","matlab","2"
"natural-logarithm","wolframalpha","1"
"imshow","imshow","1"
"hyperbolic-function","hyperbolic-function","1"
"r-grid","lattice","1"
"ceres-solver","c++","1"
"numerical-computing","python","1"
"bitwise-operators","bit-manipulation","1"
"time-complexity","logarithm","13"
"while-loop","logarithm","1"
"jena","math","1"
"nested-loops","logarithm","2"
"bitcount","bit-manipulation","1"
"intervals","distribution","1"
"latitude-longitude","php","1"
"percentage","logarithm","1"
"micro-optimization","performance","1"
"micro-optimization","bit-manipulation","1"
"numerical-methods","numerical-methods","5"
"beep","audio","1"
"heatmap","tableau","2"
"mixed-radix","complex-numbers","1"
"sampling","logarithm","1"
"bar-chart","plot","1"
"winforms",".net","1"
"ggplot2","statistics","1"
"ggplot2","axis","1"
"pow","logarithm","2"
"bcl","c#","1"
"clrs","logarithm","1"
"exp","c","1"
"exponential","layer","1"
"exponential","ggplot2","1"
"data-structures","lookup","1"
"rowsum","logarithm","1"
"floating-point-precision","logarithm","1"
"rstudio","logarithm","1"
"d3.js","javascript","1"
"c++11","constexpr","2"
"random-forest","prediction","1"
"polar-coordinates","matplotlib","2"
"branch-prediction","logarithm","1"
"master-theorem","math","1"
"output","output","1"
"logistic-regression","machine-learning","3"
"natural-logarithm","time-complexity","1"
"natural-logarithm","python-2.5","1"
"hyperbolic-function","vhdl","1"
"ceres-solver","linux","1"
"turing","turing","1"
"math.h","logarithm","2"
"histogram","sql","1"
"tag-cloud","algorithm","1"
"elixir","erlang","1"
"elixir","gaussian","1"
"bignum","c++","1"
"bignum","bignum","1"
"brute-force","algorithm","1"
"excel-vba","excel","1"
"curve-fitting","r","2"
"floating-point-exceptions","floating-point-exceptions","1"
"exponent","exponent","4"
"bigdecimal","bigdecimal","3"
"zero","zero","2"
"bitwise-operators","bitwise-operators","1"
"expression-evaluation","math","1"
"expression-evaluation","natural-logarithm","1"
"graph-drawing","algorithm","1"
"bitcount","logarithm","1"
"contour","imshow","1"
"sparse-matrix","sparse-matrix","2"
"divide-by-zero","divide-by-zero","1"
"divide-by-zero","logistic-regression","1"
"python-2.5","logarithm","1"
"compiler-optimization","logarithm","1"
"negative-number","reporting-services","1"
"mixed-radix","mixed-radix","1"
"recurrence-relation","recurrence-relation","2"
"sqrt","micro-optimization","1"
"reporting-services","logarithm","1"
"arbitrary-precision","logging","1"
"winforms","winforms","1"
"fortran90","matlab","1"
"least-squares","matlab","1"
"logistics","logarithm","1"
"pow","pow","2"
"jqplot","logarithm","1"
"exponential","logarithm","9"
"exponential","r","2"
"racket","logarithm","1"
"binary-search-tree","logarithm","1"
"eigen","eigen","1"
"hidden-markov-models","classification","1"
"c-preprocessor","c","1"
"c#-4.0","c#","1"
"c#-4.0","c#-4.0","1"
"pandas","logarithm","2"
"d3.js","scale","2"
"d3.js","d3.js","3"
"c++11","c++11","2"
"random-forest","random-forest","1"
"branch-prediction","c","1"
"galois-field","cryptography","1"
"plotrix","logarithm","1"
"output","logarithm","1"
"mpmath","logarithm","1"
"mpmath","mpmath","1"
"mpmath","natural-logarithm","1"
"logistic-regression","python","2"
"natural-logarithm","math","4"
"imshow","logarithm","1"
"ff","ff","1"
"ffbase","ffbase","1"
"javascript","charts","2"
"c#","winforms","1"
"c++","logarithm","41"
"c++","arbitrary-precision","1"
"python","big-o","1"
"python","loops","1"
"python","machine-learning","3"
"python","matplotlib","28"
"python","boxplot","1"
"java","math","13"
"java","axes","1"
"java","natural-logarithm","1"
"sql","sql","4"
"eclipse","eclipse","1"
"arrays","count","1"
"sorting","big-o","1"
"algorithm","bit-manipulation","2"
"algorithm","formula","1"
"algorithm","exponent","1"
"math","numbers","1"
"math","acoustics","1"
"math","exponent","2"
"math","clrs","1"
"lookup","data-structures","1"
"floating-point","c","1"
"floating-point","floating-accuracy","1"
"precision","floating-point","2"
"precision","matlab","1"
"indexing","logarithm","2"
"syntax","logarithm","1"
"binary","algorithm","1"
"mouse","java","1"
"excel","regression","1"
"perl","perl","2"
"hash","hash","1"
"performance","java","1"
"performance","discrete-mathematics","1"
"performance","alglib","1"
"big-o","recursion","1"
"jquery","zero","1"
"matlab","statistics","1"
"matlab","visualization","1"
"matlab","pie-chart","1"
"charts","trendline","1"
"logging","logarithm","5"
"recurrence","tree","1"
"recurrence","recursion","1"
"plot","python","9"
"plot","curve","1"
"plot","graph","2"
"plot","linear-regression","1"
"scaling","scaling","1"
"android","replaygain","1"
"cocoa-touch","logarithm","1"
"drawing","algorithm","1"
"axis","matplotlib","1"
"fortran","matlab","1"
"loops","math","1"
"wikipedia","wikipedia","1"
"cuda","double-precision","1"
"casting","syntax","1"
"information-retrieval","math","1"
"exception-handling","math","1"
"element","math","1"
"bit-manipulation","c","2"
"jquery-ui","javascript","1"
"logarithm","lua","1"
"logarithm","conditional","1"
"logarithm","equation","2"
"logarithm","verilog","1"
"logarithm","regression","6"
"logarithm","simulink","1"
"logarithm","module","1"
"logarithm","compiler-errors","1"
"logarithm","distribution","4"
"logarithm","colors","2"
"logarithm","flot","2"
"logarithm","numerical-computing","1"
"logarithm","time-complexity","13"
"logarithm","bitcount","1"
"logarithm","double-precision","1"
"logarithm","ieee-754","1"
"logarithm","computer-vision","1"
"logarithm","python-2.5","1"
"logarithm","qwt","1"
"logarithm","highcharts","10"
"logarithm","colorbar","2"
"logarithm","tableau","2"
"logarithm","axis-labels","3"
"logarithm","plotrix","1"
"logarithm","morris.js","1"
"logarithm","oxyplot","1"
"r","ribbon","1"
"r","axis-labels","1"
"r","plotrix","1"
"rounding-error","logarithm","1"
"sign","wolfram-mathematica","1"
"distribution","numbers","1"
"list","math","1"
"fixed-point","java","1"
"linechart","logarithm","3"
"frequency","math","1"
"frequency","matlab","1"
"objective-c","uislider","1"
"rating","sql","1"
"matplotlib","matplotlib","32"
"count","c","1"
"overflow","logarithm","1"
"algebra","math","1"
"formula","function","1"
"bit-shift","logarithm","1"
"nan","logarithm","3"
"fractals","gamma","1"
"char","phpexcel","1"
"quicksort","logarithm","2"
"quicksort","quicksort","2"
"scientific-computing","logarithm","2"
"spiral","spiral","1"
"flot","flot","2"
"division","java","1"
"vhdl","vhdl","1"
"sparql","math","1"
"layer","exponential","1"
"excel-vba","worksheet-function","1"
"exponent","java","1"
"excel-formula","excel-vba","1"
"gridlines","excel","1"
"bitwise-operators","logarithm","1"
"ticker","matplotlib","1"
"expression-evaluation","logarithm","1"
"expression-evaluation","expression-evaluation","1"
"polynomial-math","polynomial-math","1"
"bitcount","micro-optimization","1"
"contour","vector","1"
"scipy","interpolation","1"
"computer-vision","classification","1"
"underflow","scientific-computing","1"
"best-fit-curve","qt","1"
"micro-optimization","bitcount","1"
".net","math","1"
"javascript","node.js","1"
"php","mapping","1"
"php","precision","1"
"php","syntax","1"
"c","math","5"
"c#","encryption","1"
"c#","axis","1"
"c++","c","3"
"c++","numerical-methods","1"
"c++","pow","1"
"c++","c++11","1"
"python","logging","1"
"python","plot","9"
"python","axis","1"
"python","glibc","1"
"python","aspect-ratio","1"
"python","matrix-multiplication","1"
"python","logistic-regression","2"
"java","c","1"
"java","binary","1"
"java","mouse","1"
"java","jfreechart","1"
"java","loop-invariant","1"
"sql","c#","1"
"language-agnostic","logarithm","2"
"eclipse","binary","1"
"sorting","algorithm","3"
"iphone","iphone","3"
"algorithm","algorithm","66"
"algorithm","list","1"
"algorithm","while-loop","1"
"algorithm","iterated-function","1"
"postgresql","sql","1"
"math","encryption","1"
"math","debugging","1"
"math","cuda","1"
"math","linear-algebra","1"
"math","percentage","1"
"math","scientific-software","1"
"math","replaygain","1"
"audio","signal-processing","1"
"audio","scale","1"
"syntax","php","1"
"statistics","statistics","4"
"excel","char","1"
"optimization","bit-manipulation","1"
"performance","fortran","1"
"time","time","2"
"complexity-theory","language-agnostic","1"
"complexity-theory","data-structures","1"
"big-o","time-complexity","5"
"benchmarking","c#","1"
"jquery","highcharts","1"
"matlab","contour","1"
"charts","scaling","1"
"charts","logarithm","12"
"charts","r","1"
"android","acoustics","1"
"curve","r","2"
"interpolation","python","1"
"interpolation","scipy","1"
"axis","axis","6"
"axis","loess","1"
"binary-tree","binary-tree","1"
"visualization","logarithm","1"
"cryptography","c#","2"
"largenumber","wolfram-mathematica","1"
"trigonometry","c++","1"
"information-retrieval","information-retrieval","1"
"bit-manipulation","micro-optimization","1"
"numpy","interpolation","1"
"logarithm","javascript","21"
"logarithm","c#","18"
"logarithm","windows","1"
"logarithm","floating-point","13"
"logarithm","optimization","6"
"logarithm","matlab","26"
"logarithm","md5","1"
"logarithm","wolfram-mathematica","3"
"logarithm","runtime-error","2"
"logarithm","transformation","2"
"logarithm","classification","2"
"logarithm","frequency","3"
"logarithm","prolog","4"
"logarithm","undefined","1"
"logarithm","char","1"
"logarithm","complex-numbers","2"
"logarithm","heatmap","2"
"logarithm","power-law","1"
"logarithm","drawing2d","1"
"logarithm","least-squares","1"
"logarithm","c#-4.0","1"
"logarithm","branch-prediction","1"
"logarithm","master-theorem","1"
"logarithm","little-o","1"
"logarithm","value","1"
"r","drawing","1"
"r","frequency","1"
"graph","statistics","2"
"graph","visualization","1"
"graph","negative-number","1"
"function","c","1"
"fixed-point","exp","1"
"idiomatic","constants","1"
"objective-c","math","1"
"acoustics","logarithm","2"
"slider","javascript","4"
"increment","c#","1"
"calculator","logarithm","4"
"matplotlib","scale","4"
"prolog","prolog","4"
"formula","algorithm","1"
"entropy","math","1"
"entropy","wolfram-mathematica","1"
"entropy","entropy","2"
"entropy","undefined","1"
"bit-shift","time-complexity","1"
"jfreechart","axes","1"
"undefined","logarithm","1"
"char","php","1"
"multiplication","multiplication","1"
"spiral","logarithm","1"
"flot","javascript","1"
"histogram","gnuplot","2"
"histogram","pandas","1"
"floating-accuracy","floating-point","1"
"binary-search","nested-loops","1"
"discrete-mathematics","cryptography","2"
"scale","logarithm","17"
"scale","r","4"
"floating-point-exceptions","logarithm","1"
"exponent","c++","1"
"exponent","algorithm","1"
"bigdecimal","logarithm","3"
"gridlines","charts","1"
"time-complexity","recurrence-relation","1"
"ticker","plot","1"
"computer-algebra-systems","logarithm","1"
".net","cryptography","1"
".net","bcl","1"
"javascript","math","5"
"php","math","4"
"c","c","23"
"c","java","1"
"c","avr","1"
"c","discrete-mathematics","1"
"c#",".net","7"
"c#","zoom","1"
"c++","audio","1"
"c++","bit-manipulation","1"
"c++","exponent","1"
"python","recursion","1"
"python","exception-handling","1"
"python","numpy","13"
"python","nan","1"
"python","contour","1"
"python","axis-labels","1"
"java","fixed-point","1"
"java","bigdecimal","3"
"sql","logarithm","4"
"vb.net","charts","1"
"arrays","numpy","2"
"vb6","vb6","1"
"random","numbers","1"
"algorithm","javascript","2"
"algorithm","floating-point","1"
"algorithm","optimization","1"
"algorithm","performance","1"
"algorithm","numbers","1"
"postgresql","postgresql","1"
"math","audio","2"
"math","excel","1"
"math","logistics","1"
"debugging","debugging","1"
"floating-point","math","3"
"precision","php","1"
"precision","multiplication","1"
"indexing","graph","1"
"statistics","bar-chart","1"
"import","python","1"
"excel","logarithm","5"
"optimization","arrays","1"
"optimization","lookup-tables","1"
"recursion","big-o","1"
"recursion","recurrence","1"
"performance","glibc","1"
"performance","fortran90","1"
"big-o","logarithm","34"
"benchmarking","logarithm","1"
"jquery","javascript","1"
"assembly","arrays","1"
"assembly","logarithm","1"
"matlab","indexing","1"
"matlab","matlab","26"
"matlab","frequency","1"
"matlab","data-fitting","1"
"matlab","pitch-detection","1"
"charts","javascript","2"
"charts","c#","2"
"charts","matlab","1"
"logging","binary","1"
"recurrence","algorithm","2"
"encoding","logarithm","1"
"qt","logarithm","2"
"conditional","python-3.x","1"
"curve","plot","1"
"boost","c++","1"
"fortran","fortran95","1"
"integer","optimization","1"
"md5","hash","1"
"cryptography","c++","1"
"cryptography","maple","1"
"largenumber","sign","1"
"wolfram-mathematica","logarithm","3"
"numbers","logarithm","4"
"regression","r","4"
"module","math","1"
"element","python","1"
"runtime-error","logarithm","2"
"bit-manipulation","discrete-mathematics","1"
"numpy","performance","1"
"jquery-ui","jquery-ui","1"
"logarithm","eclipse","1"
"logarithm","iteration","1"
"logarithm","scaling","1"
"logarithm","cocoa-touch","1"
"logarithm","element","1"
"logarithm","logarithm","503"
"logarithm","r","41"
"logarithm","sum","1"
"logarithm","gaussian","1"
"logarithm","algebra","1"
"logarithm","quicksort","2"
"logarithm","division","1"
"logarithm","ticker","1"
"logarithm","expression-evaluation","1"
"logarithm","beep","1"
"logarithm","recurrence-relation","2"
"logarithm","determinants","1"
"logarithm","c-preprocessor","1"
"logarithm","cdf","1"
"logarithm","matlab-figure","1"
"logarithm","c++11","2"
"logarithm","loop-invariant","1"
"logarithm","ff","1"
"logarithm","contourf","1"
"glibc","numpy","1"
"sum","primes","1"
"graph","complexity-theory","1"
"graph","bar-chart","1"
"zoom","zoom","1"
"idiomatic","idiomatic","1"
"colors","fractals","1"
"base","logarithm","2"
"calculator","math","2"
"algebra","natural-logarithm","1"
"biginteger","c++","1"
"biginteger","python","1"
"biginteger","biginteger","7"
"matrix","logarithm","2"
"prolog","logarithm","4"
"lookup-tables","math","1"
"jfreechart","java","1"
"significance","java","1"
"digits","math","1"
"quicksort","complexity-theory","1"
"scientific-computing","scientific-computing","2"
"histogram","bins","1"
"solver","solver","1"
"binary-search","algorithm","1"
"excel-vba","int","1"
"excel-vba","excel-vba","2"
"curve-fitting","curve-fitting","5"
"scale","charts","1"
"scale","plot","1"
"sympy","numpy","1"
"notation","notation","1"
"exponent","base","1"
"zero","charts","1"
"gridlines","gridlines","1"
"bitcount","bitcount","1"
"contour","logarithm","2"
"python-2.5","natural-logarithm","1"
"numerical-methods","numbers","2"
"compiler-optimization","math","1"
"drawing2d","drawing2d","1"
"mixed-radix","vb6","1"
"asymptotic-complexity","big-o","2"
"visual-c++","visual-c++","1"
"bar-chart","matplotlib","1"
"arbitrary-precision","c++","1"
"determinants","alglib","1"
"logistics","math","1"
"ssrs-2008","ssrs-2008","1"
"binning","binning","1"
"bcl","biginteger","1"
"highcharts","javascript","2"
"exp","logarithm","2"
"exponential","exponential","9"
"cypher","neo4j","1"
"cypher","cypher","1"
"racket","math","1"
"eigen","logarithm","1"
"fortran95","fortran","1"
"colorbar","matplotlib","2"
"galois-field","c#","1"
"plotrix","drawing","1"
"oxyplot","oxyplot","1"
"logistic-regression","regression","1"
"loop-invariant","logarithm","1"
"hyperbolic-function","logarithm","1"
"ffbase","logarithm","1"
"ffbase","r","1"
"pitch-detection","exponential","1"
"r-grid","r","1"
"intervals","intervals","1"
"latitude-longitude","latitude-longitude","1"
"computer-vision","computer-vision","1"
"linear-regression","plot","1"
"scientific-software","math","1"
"negative-number","graph","1"
"cmath","logarithm","1"
"mixed-radix","math","1"
"visual-studio-2008","c++","1"
"visual-studio-2008","visual-studio-2008","1"
"bar-chart","statistics","1"
"spectrogram","logarithm","1"
"highcharts","bubble-chart","1"
"ntl","logarithm","1"
"sin","motordriver","1"
"exp","multiplication","1"
"equation-solving","matlab","2"
"c-preprocessor","logarithm","1"
"rowsum","r","1"
"constexpr","c++","1"
"constexpr","compile-time","1"
"tableau","tableau","2"
"rstudio","r","1"
"bitcoin",".net","1"
"bitcoin","bitcoin","1"
"cdf","logarithm","1"
"matlab-figure","histogram","1"
"c++11","logarithm","2"
"random-forest","logarithm","1"
"random-forest","r","1"
"master-theorem","master-theorem","1"
"little-o","little-o","1"
"natural-logarithm","sse","1"
"swift","swift","1"
"replaygain","android","1"
"percentage","floating-point","1"
"double-precision","cuda","1"
"complex-numbers","vb6","1"
"complex-numbers","mpmath","1"
"python-2.5","python-2.5","1"
"numerical-methods","c++","1"
"numerical-methods","algorithm","1"
"compiler-optimization","compiler-optimization","1"
"beep","logarithm","1"
"beep","beep","1"
"power-law","power-law","1"
"radix","logarithm","1"
"bins","bins","1"
"sqrt","math","1"
"bar-chart","python","1"
"bar-chart","graph","1"
"bar-chart","bar-chart","2"
"reporting-services","graph","1"
"reporting-services","ssrs-2008","1"
"winforms","c#","1"
"fortran90","performance","1"
"lattice","lattice","1"
"qwt","qt","1"
"wolframalpha","natural-logarithm","1"
"logistics","equation","1"
"bcl",".net","1"
"boxplot","python","1"
"node.js","node.js","1"
"motordriver","easing","1"
"exp","floating-point","1"
"equation-solving","logarithm","2"
"racket","scheme","1"
"ios","ios","2"
"data-structures","logarithm","3"
"data-structures","data-structures","3"
"python-3.x","matplotlib","1"
"hidden-markov-models","logarithm","1"
"rowsum","rowsum","1"
"tableau","heatmap","2"
"alglib","eigen","1"
"matlab-figure","matlab","1"
"axis-labels","axis-labels","3"
"random-forest","regression","1"
"plotrix","plotrix","1"
"morris.js","morris.js","1"
"natural-logarithm","simd","1"
"imshow","python","1"
"ff","ffbase","1"
"replaygain","math","1"
"value","java","1"
"ceres-solver","logarithm","1"
"html","html","1"
"javascript","jquery-ui","1"
"php","hash","1"
"php","encoding","1"
"c","bit-manipulation","2"
"c#","math","6"
"c++","compiler-optimization","1"
"c++","cmath","1"
"python","math","10"
"python","matlab","1"
"python","axes","1"
"python","bitwise-operators","1"
"python","cdf","1"
"java","debugging","1"
"java","logging","1"
"vb.net","vb.net","3"
"vb.net","logarithm","3"
"linux","ceres-solver","1"
"windows","calculator","1"
"random","java","2"
"random","random","6"
"random","exponential","2"
"algorithm","recursion","1"
"math","php","4"
"math","benchmarking","1"
"math","information-retrieval","1"
"math","numerical-methods","1"
"math","mixed-radix","1"
"math","natural-logarithm","4"
"debugging","logarithm","1"
"floating-point","numpy","1"
"indexing","visualization","1"
"audio","beep","1"
"binary","binary","3"
"wpf","oxyplot","1"
"statistics","normal-distribution","1"
"import","module","1"
"excel","charts","1"
"excel","phpexcel","1"
"optimization","math","1"
"perl","numbers","1"
"performance","complexity-theory","1"
"complexity-theory","time-complexity","1"
"big-o","notation","1"
"big-o","binary-search-tree","1"
"big-o","data-structures","2"
"microcontroller","microcontroller","1"
"jquery","logarithm","2"
"matlab","exponential","2"
"matlab","matlab-figure","1"
"charts","zero","1"
"charts","pie-chart","1"
"lua","logarithm","1"
"conditional","conditional","1"
"android","math","2"
"curve","curve","3"
"fortran","performance","1"
"fortran","bit-manipulation","1"
"integer","logarithm","1"
"split","python","1"
"loops","primes","1"
"bubble-chart","highcharts","1"
"wikipedia","signal-processing","1"
"for-loop","for-loop","2"
"functional-programming","logarithm","1"
"cuda","math","1"
"equation","logistics","1"
"sse","logarithm","1"
"numbers","digits","1"
"regression","plot","1"
"runtime-error","runtime-error","2"
"bit-manipulation","optimization","1"
"bit-manipulation","performance","2"
"bit-manipulation","primes","1"
"numpy","numpy","14"
"numpy","nan","1"
"analysis","big-o","1"
"logarithm","language-agnostic","2"
"logarithm","double","1"
"logarithm","microcontroller","1"
"logarithm","charts","12"
"logarithm","scheme","1"
"logarithm","plot","34"
"logarithm","label","1"
"logarithm","functional-programming","1"
"logarithm","raster","1"
"logarithm","base","2"
"logarithm","count","1"
"logarithm","rounding","1"
"logarithm","mathematical-optimization","1"
"logarithm","significance","1"
"logarithm","digits","2"
"logarithm","aspect-ratio","1"
"logarithm","divide-by-zero","1"
"logarithm","parse-error","1"
"logarithm","matrix-multiplication","1"
"logarithm","phpexcel","1"
"logarithm","data-fitting","1"
"logarithm","exp","2"
"logarithm","binary-search-tree","1"
"logarithm","data-structures","3"
"logarithm","fortran95","1"
"logarithm","floating-point-precision","1"
"logarithm","alglib","1"
"logarithm","highstock","1"
"logarithm","ceres-solver","1"
"glibc","performance","1"
"sum","logarithm","1"
"sum","sum","1"
"gnuplot","histogram","2"
"distribution","logarithm","4"
"list","python","1"
"list","algorithm","1"
"machine-learning","machine-learning","4"
"machine-learning","logistic-regression","3"
"zoom","c#","1"
"character","character","1"
"colors","transparency","1"
"colors","colors","2"
"frequency","audio","1"
"base","base","2"
"gaussian","erlang","1"
"gaussian","gaussian","1"
"invariants","invariants","1"
"matplotlib","polar-coordinates","2"
"simd","natural-logarithm","1"
"matrix","matrix-multiplication","1"
"formula","logarithm","2"
"rounding","double","1"
"rounding","rounding","1"
"rounding","significance","1"
"lookup-tables","embedded","1"
"lookup-tables","lookup-tables","2"
"bit-shift","big-o","1"
"mathematical-optimization","c#","1"
".net","c#","7"
"javascript","logarithm","21"
"php","arrays","1"
"php","logarithm","10"
"c","formula","1"
"c#","charts","2"
"c#","mathematical-optimization","1"
"c#","mschart","1"
"c++","random","1"
"c++","loops","1"
"c++","operator-overloading","1"
"c++","floating-accuracy","1"
"c++","discrete-mathematics","1"
"python","floating-point","2"
"python","runtime-error","2"
"python","classification","1"
